Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
java-client,io.appium.java_client.android.options.app,SupportsIntentActionOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.app,SupportsIntentCategoryOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.app,SupportsIntentFlagsOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.app,SupportsIntentOptionsOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.app,SupportsOptionalIntentArgumentsOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.app,SupportsRemoteAppsCacheLimitOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.app,SupportsUninstallOtherPackagesOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.avd,SupportsAvdArgsOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.avd,SupportsAvdEnvOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.avd,SupportsAvdLaunchTimeoutOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.avd,SupportsAvdOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.avd,SupportsAvdReadyTimeoutOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.avd,SupportsGpsEnabledOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.avd,SupportsNetworkSpeedOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsAutoWebviewTimeoutOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsChromedriverArgsOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsChromedriverChromeMappingFileOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsChromedriverDisableBuildCheckOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsChromedriverExecutableDirOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsChromedriverExecutableOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsChromedriverPortOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsChromedriverPortsOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsChromedriverUseSystemExecutableOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsChromeLoggingPrefsOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsChromeOptionsOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsEnsureWebviewsHavePagesOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsExtractChromeAndroidPackageFromContextNameOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsNativeWebScreenshotOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsRecreateChromeDriverSessionsOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsShowChromedriverLogOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.context,SupportsWebviewDevtoolsPortOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.localization,SupportsAppLocaleOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.localization,SupportsLocaleScriptOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.locking,SupportsSkipUnlockOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.locking,SupportsUnlockKeyOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.locking,SupportsUnlockStrategyOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.locking,SupportsUnlockSuccessTimeoutOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.locking,SupportsUnlockTypeOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.mjpeg,SupportsMjpegScreenshotUrlOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.mjpeg,SupportsMjpegServerPortOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.other,SupportsDisableSuppressAccessibilityServiceOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.other,SupportsUserProfileOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.server,EspressoBuildConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TOOLS_VERSION; ADDITIONAL_APP_DEPENDENCIES; ADDITIONAL_ANDROID_TEST_DEPENDENCIES
java-client,io.appium.java_client.android.options.server,EspressoBuildConfig,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
java-client,io.appium.java_client.android.options.server,SupportsDisableWindowAnimationOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.server,SupportsEspressoBuildConfigOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.server,SupportsEspressoServerLaunchTimeoutOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.server,SupportsForceEspressoRebuildOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.server,SupportsShowGradleLogOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.server,SupportsSkipDeviceInitializationOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.server,SupportsSkipServerInstallationOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.server,SupportsSystemPortOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.server,SupportsUiautomator2ServerInstallTimeoutOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.server,SupportsUiautomator2ServerLaunchTimeoutOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.server,SupportsUiautomator2ServerReadTimeoutOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.signing,KeystoreConfig,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: path; password; keyAlias; keyPassword
java-client,io.appium.java_client.android.options.signing,SupportsKeystoreOptions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.signing,SupportsNoSignOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client,AppiumBy,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AppiumBy.ByAccessibilityId; AppiumBy.ByAndroidDataMatcher; AppiumBy.ByAndroidUIAutomator; AppiumBy.ByAndroidViewMatcher; AppiumBy.ByAndroidViewTag; AppiumBy.ById; AppiumBy.ByName; AppiumBy.ByClassName; AppiumBy.ByCustom; AppiumBy.ByImage; AppiumBy.ByIosClassChain; AppiumBy.ByIosNsPredicate; MobileBy; MobileBy.ByAndroidUIAutomator; MobileBy.ByAccessibilityId; MobileBy.ByIosClassChain; MobileBy.ByAndroidDataMatcher; MobileBy.ByAndroidViewMatcher; MobileBy.ByIosNsPredicate; MobileBy.ByImage; MobileBy.ByCustom; MobileBy.ByAndroidViewTag
