Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
java-client,io.appium.java_client.service.local,AppiumServiceBuilder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: APPIUM_PATH; BROADCAST_IP4_ADDRESS; BROADCAST_IP6_ADDRESS; DEFAULT_APPIUM_PORT
java-client,io.appium.java_client.service.local,StartingAppLocallyIosTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
java-client,io.appium.java_client.drivers.options,OptionsBuildingTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
java-client,io.appium.java_client.pagefactory_tests.widget.tests,AbstractStubWebDriver.StubAndroidDriver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client.pagefactory_tests.widget.tests,AbstractStubWebDriver.StubIOSXCUITDriver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client.pagefactory_tests.widget.tests,AbstractStubWebDriver.StubWindowsDriver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client.pagefactory_tests.widget.tests,AbstractStubWebDriver.StubBrowserDriver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client.pagefactory_tests.widget.tests,AbstractStubWebDriver.StubAndroidBrowserOrWebViewDriver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client.pagefactory_tests.widget.tests.android,AndroidApp,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ANDROID_DEFAULT_WIDGET_LOCATOR; ANDROID_EXTERNALLY_DEFINED_WIDGET_LOCATOR
java-client,io.appium.java_client.pagefactory_tests.widget.tests.android,AnnotatedAndroidWidget,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ANDROID_ROOT_WIDGET_LOCATOR
java-client,io.appium.java_client.pagefactory_tests.widget.tests.android,DefaultAndroidWidget,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ANDROID_SUB_WIDGET_LOCATOR
java-client,io.appium.java_client.pagefactory_tests.widget.tests.combined,CombinedAppTest.CombinedApp,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client.pagefactory_tests.widget.tests.combined,CombinedAppTest.PartiallyCombinedApp,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client.pagefactory_tests.widget.tests.combined,CombinedWidgetTest.CombinedWidget,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client.pagefactory_tests.widget.tests.combined,CombinedWidgetTest.PartiallyCombinedWidget,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client.pagefactory_tests.widget.tests.combined,CombinedWidgetTest.AppWithCombinedWidgets,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client.pagefactory_tests.widget.tests.combined,CombinedWidgetTest.AppWithPartiallyCombinedWidgets,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client.pagefactory_tests.widget.tests.combined,DefaultIosXCUITWidget,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: XCUIT_SUB_WIDGET_LOCATOR
java-client,io.appium.java_client.pagefactory_tests.widget.tests.ios,AnnotatedIosWidget,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: XCUIT_ROOT_WIDGET_LOCATOR
java-client,io.appium.java_client.pagefactory_tests.widget.tests.ios,IosApp,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IOS_DEFAULT_WIDGET_LOCATOR; IOS_XCUIT_WIDGET_LOCATOR; IOS_EXTERNALLY_DEFINED_WIDGET_LOCATOR; XCUIT_EXTERNALLY_DEFINED_WIDGET_LOCATOR
